Split,Class,mAP50-95,mAP50,Precision,Recall,F1
val,ALL,0.3678,0.805,0.8021,0.7327,0.7658
val,DAUCA,0.3678,0.805,0.8021,0.7327,0.7658
test,ALL,0.3676,0.8635,0.8459,0.7914,0.8178
test,DAUCA,0.3676,0.8635,0.8459,0.7914,0.8178
