epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,351.396,1.49914,0.88951,1.0474,0.75984,0.69791,0.73842,0.40645,1.45772,0.85363,1.05447,0.000742625,0.000742625,0.000742625
43,359.559,1.48902,0.88272,1.04449,0.75746,0.70756,0.74892,0.41736,1.44144,0.83417,1.04756,0.00073025,0.00073025,0.00073025
44,367.694,1.50593,0.89566,1.04716,0.71631,0.73622,0.74084,0.40468,1.46188,0.84137,1.05286,0.000717875,0.000717875,0.000717875
45,375.788,1.49714,0.88975,1.04952,0.74455,0.70169,0.73829,0.40877,1.43864,0.8478,1.04909,0.0007055,0.0007055,0.0007055
46,384.1,1.49256,0.87394,1.04864,0.74593,0.71509,0.74621,0.41325,1.45302,0.85536,1.04782,0.000693125,0.000693125,0.000693125
47,392.166,1.50956,0.88455,1.04971,0.74959,0.68457,0.73579,0.4153,1.43974,0.85431,1.04634,0.00068075,0.00068075,0.00068075
48,400.276,1.48951,0.87558,1.04016,0.77221,0.69656,0.74828,0.40727,1.46905,0.82822,1.05284,0.000668375,0.000668375,0.000668375
49,408.804,1.50325,0.87343,1.04513,0.74038,0.70525,0.73951,0.41281,1.44326,0.83768,1.04475,0.000656,0.000656,0.000656
50,416.895,1.47114,0.86229,1.03827,0.75328,0.66684,0.72303,0.39648,1.49252,0.88371,1.06314,0.000643625,0.000643625,0.000643625
51,424.967,1.46848,0.86944,1.03379,0.73641,0.72501,0.75158,0.4205,1.43968,0.82481,1.0487,0.00063125,0.00063125,0.00063125
52,432.831,1.4708,0.85727,1.04162,0.74906,0.70782,0.75041,0.41517,1.44813,0.82695,1.04504,0.000618875,0.000618875,0.000618875
53,440.954,1.46587,0.85779,1.03405,0.76873,0.67702,0.73071,0.40866,1.43487,0.84838,1.04367,0.0006065,0.0006065,0.0006065
54,449.036,1.45484,0.84244,1.03471,0.77188,0.68311,0.73817,0.40633,1.46094,0.84983,1.05146,0.000594125,0.000594125,0.000594125
55,457.064,1.46255,0.85513,1.0353,0.7252,0.70895,0.73421,0.39863,1.4767,0.8624,1.05702,0.00058175,0.00058175,0.00058175
56,465.216,1.46583,0.85299,1.03585,0.7096,0.69665,0.72081,0.40161,1.45565,0.85529,1.05342,0.000569375,0.000569375,0.000569375
57,473.419,1.46187,0.84858,1.03061,0.81516,0.68368,0.7501,0.41135,1.46576,0.84299,1.05207,0.000557,0.000557,0.000557
58,481.407,1.45114,0.83602,1.02905,0.75976,0.70288,0.74032,0.4105,1.44712,0.84044,1.04729,0.000544625,0.000544625,0.000544625
59,489.658,1.45393,0.83943,1.03009,0.74882,0.71234,0.74049,0.41128,1.44013,0.83862,1.05617,0.00053225,0.00053225,0.00053225
60,497.749,1.4538,0.83501,1.03107,0.76876,0.68968,0.74376,0.40815,1.46037,0.84634,1.05145,0.000519875,0.000519875,0.000519875
61,505.937,1.43957,0.83532,1.02811,0.76884,0.69173,0.74095,0.41093,1.4464,0.82716,1.04928,0.0005075,0.0005075,0.0005075
62,513.938,1.45784,0.84121,1.03216,0.76084,0.70187,0.74332,0.40436,1.45489,0.85425,1.05193,0.000495125,0.000495125,0.000495125
